code,hs2,imports,commodity,exports,total
AB,16,92804682,Prepared meat & fish,0,92804682
SK,48,91848341,Paper & paperboard,0,91848341
BC,56,91813323,Wadding & felt,0,91813323
MB,07,91792612,Vegetables,0,91792612
BC,92,91181897,Musical instruments,0,91181897
SK,89,90886331,Ships & boats,0,90886331
MB,15,90077991,Animal/veg fats & oils,0,90077991
AB,69,89805403,Ceramic products,0,89805403
ON,36,88749379,Explosives,0,88749379
SK,33,88010380,Cosmetics & perfumes,0,88010380
NS,72,87918333,Iron & steel,0,87918333
SK,21,87601876,Misc food preparations,0,87601876
NB,47,87510046,Wood pulp,0,87510046
SK,86,87438200,Railway equipment,0,87438200
NB,28,86779049,Inorganic chemicals,0,86779049
AB,03,86185438,Fish & seafood,0,86185438
NS,39,84380866,Plastics,0,84380866
MB,96,83962209,Miscellaneous manufactures,0,83962209
MB,35,82095849,Protein substances,0,82095849
NB,08,81986142,Fruit & nuts,0,81986142
MB,61,81634921,Knitted apparel,0,81634921
NB,90,81165882,Optical & medical instruments,0,81165882
SK,88,80355480,Aircraft & spacecraft,0,80355480
BC,97,80091159,Works of art,0,80091159
SK,76,79671271,Aluminium,0,79671271
BC,91,79423250,Clocks & watches,0,79423250
NB,15,78059704,Animal/veg fats & oils,0,78059704
BC,59,76688254,Coated textiles,0,76688254
AB,09,75193179,"Coffee, tea & spices",0,75193179
BC,13,74819039,Resins & gums,0,74819039
NS,05,74268800,Other animal products,0,74268800
AB,96,73345155,Miscellaneous manufactures,0,73345155
ON,60,72562491,Knitted fabrics,0,72562491
ON,80,72101327,Tin,0,72101327
SK,02,70310431,Meat & offal,0,70310431
QC,51,70227351,Wool,0,70227351
NB,22,70146153,Beverages & spirits,0,70146153
QC,80,69672053,Tin,0,69672053
SK,28,68818683,Inorganic chemicals,0,68818683
AB,32,67970165,Tanning & dye extracts,0,67970165
MB,04,66811505,Dairy products,0,66811505
SK,68,66668673,Stone & cement articles,0,66668673
MB,74,65835693,Copper,0,65835693
NS,94,65356819,Furniture,0,65356819
MB,56,63951552,Wadding & felt,0,63951552
BC,31,63573305,Fertilizers,0,63573305
MB,63,63487931,Other made-up textiles,0,63487931
MB,89,61033997,Ships & boats,0,61033997
ON,52,59895906,Cotton,0,59895906
NB,38,59882840,Misc chemical products,0,59882840
QC,60,59570764,Knitted fabrics,0,59570764
SK,07,58453246,Vegetables,0,58453246
AB,15,57954134,Animal/veg fats & oils,0,57954134
BC,05,57289375,Other animal products,0,57289375
QC,13,57068716,Resins & gums,0,57068716
NS,76,56882968,Aluminium,0,56882968
QC,24,56499956,Tobacco,0,56499956
AB,02,56374189,Meat & offal,0,56374189
PE,31,56104158,Fertilizers,0,56104158
BC,81,55619143,Other base metals,0,55619143
NB,94,55546860,Furniture,0,55546860
QC,98,54965310,Special transactions (CA),0,54965310
QC,91,54868253,Clocks & watches,0,54868253
AB,74,54452293,Copper,0,54452293
BC,54,54236711,Man-made filaments,0,54236711
SK,83,53743579,Miscellaneous metal articles,0,53743579
SK,49,53116725,Printed books & media,0,53116725
SK,30,52880259,Pharmaceuticals,0,52880259
AB,17,52775566,Sugars,0,52775566
AB,64,51493683,Footwear,0,51493683
SK,32,49178689,Tanning & dye extracts,0,49178689
QC,11,48683271,Milling products,0,48683271
NS,90,48315367,Optical & medical instruments,0,48315367
SK,25,48291539,"Salt, sulphur, stone, cement",0,48291539
ON,66,47945509,Umbrellas,0,47945509
NB,07,47816846,Vegetables,0,47816846
SK,08,47779272,Fruit & nuts,0,47779272
AB,49,47739320,Printed books & media,0,47739320
NT,27,47636388,Mineral fuels & oils,0,47636388
SK,15,46536495,Animal/veg fats & oils,0,46536495
AB,93,46527054,Arms & ammunition,0,46527054
AB,18,44559241,Cocoa & cocoa products,0,44559241
AB,56,44519129,Wadding & felt,0,44519129
SK,20,44455113,Prepared vegetables,0,44455113
MB,64,43871580,Footwear,0,43871580
SK,44,43324293,Wood & wood articles,0,43324293
NS,48,43014629,Paper & paperboard,0,43014629
YT,03,42750372,Fish & seafood,0,42750372
SK,12,42460079,Oil seeds,0,42460079
NU,88,42379257,Aircraft & spacecraft,0,42379257
QC,41,42168807,Raw hides & skins,0,42168807
NB,19,42099135,Prepared cereals,0,42099135
AB,36,41537275,Explosives,0,41537275
MB,26,41357859,"Ores, slag & ash",0,41357859
NB,68,40911653,Stone & cement articles,0,40911653
NL,28,40694235,Inorganic chemicals,0,40694235
AB,75,40670571,Nickel,0,40670571
MB,42,40243808,Leather goods,0,40243808
BC,67,40204072,Feathers & artificial flowers,0,40204072
SK,70,39484475,Glass,0,39484475
BC,24,39370385,Tobacco,0,39370385
BC,98,38618165,Special transactions (CA),0,38618165
NS,56,38538349,Wadding & felt,0,38538349
SK,82,38368908,Tools & cutlery,0,38368908
AB,65,38223252,Headgear,0,38223252
NS,15,38134403,Animal/veg fats & oils,0,38134403
SK,22,37811109,Beverages & spirits,0,37811109
AB,57,37729438,Carpets,0,37729438
QC,79,37351971,Zinc,0,37351971
NS,21,37114308,Misc food preparations,0,37114308
NB,70,36858715,Glass,0,36858715
NS,86,36557481,Railway equipment,0,36557481
AB,04,35695795,Dairy products,0,35695795
QC,52,35671119,Cotton,0,35671119
NB,23,35207994,Food industry residues,0,35207994
MB,36,35043888,Explosives,0,35043888
AB,89,34421397,Ships & boats,0,34421397
AB,59,34396288,Coated textiles,0,34396288
YT,84,33582910,Machinery & mechanical appliances,0,33582910
NB,76,33437815,Aluminium,0,33437815
ON,53,33414888,Vegetable textile fibres,0,33414888
AB,35,33371338,Protein substances,0,33371338
NS,19,33258961,Prepared cereals,0,33258961
ON,46,33224547,Basketware,0,33224547
MB,71,32868858,Precious metals & stones,0,32868858
NB,56,32011853,Wadding & felt,0,32011853
MB,06,32010575,Live trees & plants,0,32010575
QC,05,31406701,Other animal products,0,31406701
NS,44,30924760,Wood & wood articles,0,30924760
NL,99,30067204,Confidential / low-value (CA),0,30067204
BC,75,29957563,Nickel,0,29957563
SK,62,29590642,Woven apparel,0,29590642
NB,88,29462484,Aircraft & spacecraft,0,29462484
NS,18,29437928,Cocoa & cocoa products,0,29437928
NS,08,29376286,Fruit & nuts,0,29376286
ON,41,29270210,Raw hides & skins,0,29270210
AB,81,29012763,Other base metals,0,29012763
QC,92,28861576,Musical instruments,0,28861576
SK,35,28709536,Protein substances,0,28709536
MB,69,28442161,Ceramic products,0,28442161
NS,64,28212581,Footwear,0,28212581
MB,18,28201612,Cocoa & cocoa products,0,28201612
BC,66,28134548,Umbrellas,0,28134548
MB,75,27409715,Nickel,0,27409715
MB,11,26585579,Milling products,0,26585579
MB,17,26315202,Sugars,0,26315202
NB,74,26270617,Copper,0,26270617
NB,32,26161810,Tanning & dye extracts,0,26161810
NB,20,26012148,Prepared vegetables,0,26012148
PE,85,25899735,Electrical equipment,0,25899735
SK,36,25764301,Explosives,0,25764301
MB,59,25750431,Coated textiles,0,25750431
QC,58,25639848,Special woven fabrics,0,25639848
ON,51,25452203,Wool,0,25452203
NS,29,24877606,Organic chemicals,0,24877606
SK,56,24561201,Wadding & felt,0,24561201
MB,65,24233509,Headgear,0,24233509
BC,52,23829697,Cotton,0,23829697
SK,59,23794831,Coated textiles,0,23794831
AB,91,22606996,Clocks & watches,0,22606996
SK,63,22194056,Other made-up textiles,0,22194056
SK,99,21686837,Confidential / low-value (CA),0,21686837
NB,83,21363695,Miscellaneous metal articles,0,21363695
AB,13,21113581,Resins & gums,0,21113581
MB,01,20979999,Live animals,0,20979999
BC,60,20948425,Knitted fabrics,0,20948425
ON,78,20671065,Lead,0,20671065
SK,18,20327653,Cocoa & cocoa products,0,20327653
NS,28,20225929,Inorganic chemicals,0,20225929
NL,26,20207873,"Ores, slag & ash",0,20207873
BC,55,19936281,Man-made staple fibres,0,19936281
NS,30,19871325,Pharmaceuticals,0,19871325
MB,09,19704997,"Coffee, tea & spices",0,19704997
NS,25,19410861,"Salt, sulphur, stone, cement",0,19410861
AB,54,19121785,Man-made filaments,0,19121785
NS,54,18907953,Man-made filaments,0,18907953
MB,55,18792217,Man-made staple fibres,0,18792217
NB,05,18212208,Other animal products,0,18212208
SK,54,17674863,Man-made filaments,0,17674863
SK,69,17390020,Ceramic products,0,17390020
QC,67,17247279,Feathers & artificial flowers,0,17247279
AB,06,17243756,Live trees & plants,0,17243756
SK,74,17192032,Copper,0,17192032
QC,66,17125752,Umbrellas,0,17125752
SK,06,17122272,Live trees & plants,0,17122272
NB,25,16893455,"Salt, sulphur, stone, cement",0,16893455
NS,69,16836597,Ceramic products,0,16836597
AB,11,16674363,Milling products,0,16674363
NS,70,16198672,Glass,0,16198672
NS,20,16190327,Prepared vegetables,0,16190327
SK,96,16171875,Miscellaneous manufactures,0,16171875
BC,58,16165773,Special woven fabrics,0,16165773
NL,85,15868153,Electrical equipment,0,15868153
ON,14,15635449,Vegetable materials,0,15635449
NB,63,15440983,Other made-up textiles,0,15440983
SK,61,15319530,Knitted apparel,0,15319530
AB,60,15281893,Knitted fabrics,0,15281893
NB,12,15093759,Oil seeds,0,15093759
MB,54,14892712,Man-made filaments,0,14892712
MB,93,14750776,Arms & ammunition,0,14750776
MB,81,14725017,Other base metals,0,14725017
NS,38,14635687,Misc chemical products,0,14635687
AB,97,14605908,Works of art,0,14605908
ON,43,14340932,Furskins,0,14340932
SK,04,14147556,Dairy products,0,14147556
SK,17,13967949,Sugars,0,13967949
BC,46,13895907,Basketware,0,13895907
NB,33,13606657,Cosmetics & perfumes,0,13606657
NS,68,13526242,Stone & cement articles,0,13526242
ON,45,13385276,Cork,0,13385276
MB,05,13274867,Other animal products,0,13274867
NS,74,12811103,Copper,0,12811103
NL,90,12663338,Optical & medical instruments,0,12663338
BC,53,12580014,Vegetable textile fibres,0,12580014
NB,34,12565769,Soap & cleaning products,0,12565769
NB,29,12508751,Organic chemicals,0,12508751
AB,05,12454514,Other animal products,0,12454514
NB,21,12439683,Misc food preparations,0,12439683
NB,31,12191543,Fertilizers,0,12191543
YT,90,12153214,Optical & medical instruments,0,12153214
MB,60,12092034,Knitted fabrics,0,12092034
QC,53,11999621,Vegetable textile fibres,0,11999621
SK,75,11600366,Nickel,0,11600366
NB,95,11521767,Toys & sports equipment,0,11521767
QC,78,11075979,Lead,0,11075979
NS,63,11064996,Other made-up textiles,0,11064996
SK,13,10982013,Resins & gums,0,10982013
SK,11,10919591,Milling products,0,10919591
SK,09,10676949,"Coffee, tea & spices",0,10676949
NB,11,10271991,Milling products,0,10271991
BC,14,10070193,Vegetable materials,0,10070193
NB,06,9947622,Live trees & plants,0,9947622
NB,62,9907923,Woven apparel,0,9907923
MB,91,9795183,Clocks & watches,0,9795183
NB,30,9756754,Pharmaceuticals,0,9756754
NB,72,9717875,Iron & steel,0,9717875
BC,36,9622292,Explosives,0,9622292
SK,81,8871983,Other base metals,0,8871983
AB,67,8781462,Feathers & artificial flowers,0,8781462
NB,57,8558222,Carpets,0,8558222
NB,10,8535882,Cereals,0,8535882
PE,73,8289385,Articles of iron & steel,0,8289385
BC,51,8204466,Wool,0,8204466
QC,46,8146645,Basketware,0,8146645
AB,24,8089396,Tobacco,0,8089396
MB,58,8045431,Special woven fabrics,0,8045431
NS,35,7992333,Protein substances,0,7992333
AB,98,7967956,Special transactions (CA),0,7967956
SK,03,7947795,Fish & seafood,0,7947795
AB,47,7915017,Wood pulp,0,7915017
NS,59,7879322,Coated textiles,0,7879322
NS,81,7822214,Other base metals,0,7822214
NS,36,7797743,Explosives,0,7797743
NS,42,7779703,Leather goods,0,7779703
SK,57,7654911,Carpets,0,7654911
NB,82,7615749,Tools & cutlery,0,7615749
NS,32,7584678,Tanning & dye extracts,0,7584678
NB,35,7556181,Protein substances,0,7556181
NB,96,7428777,Miscellaneous manufactures,0,7428777
NL,48,7418166,Paper & paperboard,0,7418166
QC,43,7275325,Furskins,0,7275325
NL,38,7265775,Misc chemical products,0,7265775
NB,59,7159163,Coated textiles,0,7159163
NS,23,6961024,Food industry residues,0,6961024
NS,93,6944806,Arms & ammunition,0,6944806
BC,45,6928389,Cork,0,6928389
AB,58,6918503,Special woven fabrics,0,6918503
BC,79,6917037,Zinc,0,6917037
NB,93,6915349,Arms & ammunition,0,6915349
QC,37,6893817,Photographic goods,0,6893817
SK,93,6830520,Arms & ammunition,0,6830520
NB,86,6705383,Railway equipment,0,6705383
PE,39,6588091,Plastics,0,6588091
SK,42,6531133,Leather goods,0,6531133
MB,47,6380195,Wood pulp,0,6380195
NS,31,6326941,Fertilizers,0,6326941
AB,92,6320743,Musical instruments,0,6320743
NS,95,6274358,Toys & sports equipment,0,6274358
AB,66,6199713,Umbrellas,0,6199713
NB,16,6159499,Prepared meat & fish,0,6159499
MB,92,5947627,Musical instruments,0,5947627
NL,25,5907143,"Salt, sulphur, stone, cement",0,5907143
NB,18,5756835,Cocoa & cocoa products,0,5756835
NS,49,5685093,Printed books & media,0,5685093
QC,45,5640640,Cork,0,5640640
MB,13,5639953,Resins & gums,0,5639953
SK,64,5633952,Footwear,0,5633952
NB,99,5597239,Confidential / low-value (CA),0,5597239
NB,61,5441372,Knitted apparel,0,5441372
YT,87,5431051,Vehicles,0,5431051
NS,47,5420691,Wood pulp,0,5420691
NB,69,5414011,Ceramic products,0,5414011
MB,03,5371501,Fish & seafood,0,5371501
NB,49,5364976,Printed books & media,0,5364976
SK,65,5353830,Headgear,0,5353830
NS,82,5166862,Tools & cutlery,0,5166862
SK,92,4976952,Musical instruments,0,4976952
SK,60,4964007,Knitted fabrics,0,4964007
MB,98,4914177,Special transactions (CA),0,4914177
NB,71,4891677,Precious metals & stones,0,4891677
SK,26,4871343,"Ores, slag & ash",0,4871343
NL,39,4674977,Plastics,0,4674977
NL,56,4662054,Wadding & felt,0,4662054
NS,83,4647523,Miscellaneous metal articles,0,4647523
NB,54,4637502,Man-made filaments,0,4637502
BC,41,4555247,Raw hides & skins,0,4555247
NS,17,4431950,Sugars,0,4431950
NL,94,4403430,Furniture,0,4403430
NL,03,4283713,Fish & seafood,0,4283713
MB,24,4263791,Tobacco,0,4263791
MB,52,4215825,Cotton,0,4215825
NS,09,4197852,"Coffee, tea & spices",0,4197852
NB,17,4114222,Sugars,0,4114222
SK,05,4086238,Other animal products,0,4086238
BC,78,4051018,Lead,0,4051018
NL,40,3991173,Rubber,0,3991173
SK,71,3973001,Precious metals & stones,0,3973001
NS,97,3969551,Works of art,0,3969551
AB,55,3838454,Man-made staple fibres,0,3838454
NS,16,3838114,Prepared meat & fish,0,3838114
BC,37,3814418,Photographic goods,0,3814418
SK,98,3784329,Special transactions (CA),0,3784329
MB,41,3736904,Raw hides & skins,0,3736904
NS,10,3609366,Cereals,0,3609366
BC,47,3568796,Wood pulp,0,3568796
BC,43,3555897,Furskins,0,3555897
NU,25,3356061,"Salt, sulphur, stone, cement",0,3356061
NB,01,3327727,Live animals,0,3327727
MB,53,3295237,Vegetable textile fibres,0,3295237
NS,34,3225513,Soap & cleaning products,0,3225513
NS,07,3224528,Vegetables,0,3224528
AB,52,3086130,Cotton,0,3086130
NL,72,3038685,Iron & steel,0,3038685
AB,53,3003433,Vegetable textile fibres,0,3003433
MB,97,3001969,Works of art,0,3001969
NB,04,2971746,Dairy products,0,2971746
NB,75,2971429,Nickel,0,2971429
NB,92,2779404,Musical instruments,0,2779404
NS,06,2749603,Live trees & plants,0,2749603
PE,90,2733820,Optical & medical instruments,0,2733820
AB,46,2691644,Basketware,0,2691644
AB,14,2652875,Vegetable materials,0,2652875
AB,37,2556185,Photographic goods,0,2556185
NB,09,2556168,"Coffee, tea & spices",0,2556168
ON,50,2470638,Silk,0,2470638
NL,70,2463921,Glass,0,2463921
NS,57,2457215,Carpets,0,2457215
SK,55,2418927,Man-made staple fibres,0,2418927
PE,84,2354746,Machinery & mechanical appliances,0,2354746
MB,79,2304394,Zinc,0,2304394
NS,12,2257330,Oil seeds,0,2257330
AB,78,2201609,Lead,0,2201609
MB,46,2165020,Basketware,0,2165020
NS,65,2071310,Headgear,0,2071310
PE,28,2033538,Inorganic chemicals,0,2033538
NL,05,1967540,Other animal products,0,1967540
MB,43,1944049,Furskins,0,1944049
NU,28,1892405,Inorganic chemicals,0,1892405
MB,67,1889886,Feathers & artificial flowers,0,1889886
QC,14,1852026,Vegetable materials,0,1852026
YT,85,1820198,Electrical equipment,0,1820198
AB,41,1786867,Raw hides & skins,0,1786867
AB,43,1768674,Furskins,0,1768674
NU,90,1737495,Optical & medical instruments,0,1737495
PE,98,1721795,Special transactions (CA),0,1721795
NB,42,1714277,Leather goods,0,1714277
QC,50,1678024,Silk,0,1678024
MB,37,1603566,Photographic goods,0,1603566
BC,80,1577899,Tin,0,1577899
NB,80,1539060,Tin,0,1539060
NL,23,1488796,Food industry residues,0,1488796
YT,88,1487946,Aircraft & spacecraft,0,1487946
PE,30,1451188,Pharmaceuticals,0,1451188
